description,business_tags,sector,category,niche,full_text,insurance_label,confidence_scores,max_confidence
Washington Masonry LLC is a masonry contractor company. They specialize in mason work and have received positive recommendations from satisfied customers.,['Masonry Contractors'],Services,Masonry Contractors,Masonry Contractors,washington masonry llc is a masonry contractor company they specialize in mason work and have received positive recommendations from satisfied customers masonry contractors masonry contractors,Masonry Construction Services,[0.7222086191177368],0.7222086191177368
"CB Pallets is a company based in Horley, England, specializing in the supply of pallets.","['Pallet Manufacturing', 'Pallets']",Manufacturing,Pallet Supplier,Wood Container and Pallet Manufacturing,cb pallets is a company based in horley england specializing in the supply of pallets pallet supplier wood container and pallet manufacturing,Pallet Manufacturing,[0.7014551758766174],0.7014551758766174
"The company is a supplier of rubber products, located in Dacun Township, Changhua County, Taiwan.",['Rubber Products Manufacturing'],Manufacturing,Fabricated Rubber Products,All Other Rubber Product Manufacturing,the company is a supplier of rubber products located in dacun township changhua county taiwan fabricated rubber products all other rubber product manufacturing,Rubber Manufacturing,[0.6613346338272095],0.6613346338272095
"Rooms To Clean is a company based in Rayleigh, England, United Kingdom, specializing in carpet cleaning services.",['Carpet Cleaning Services'],Services,Carpet Cleaning,Carpet and Upholstery Cleaning Services,rooms to clean is a company based in rayleigh england united kingdom specializing in carpet cleaning services carpet cleaning carpet and upholstery cleaning services,Carpet Manufacturing Services,[0.6145076155662537],0.6145076155662537
"Logan's Landscape is a company categorized under landscapers. It is located in Winona, Minnesota, United States.",['Landscaping Services'],Services,Landscaping & Lawn Services,Landscaping Services,logans landscape is a company categorized under landscapers it is located in winona minnesota united states landscaping  lawn services landscaping services,Landscaping Services,[0.5917888283729553],0.5917888283729553
"The RN PRESTIGE is a masonry contractor based in Sevran, France.","['Masonry Contractors', 'Construction Services']",Services,Masonry Contractors,Masonry Contractors,the rn prestige is a masonry contractor based in sevran france masonry contractors masonry contractors,Masonry Construction Services,[0.5871394872665405],0.5871394872665405
RK Pipeline Construction Kirchhasel GmbH is a German company that specializes in pipeline construction.,"['Pipeline Construction', 'Construction Services']",Services,Construction Services,Oil and Gas Pipeline and Related Structures Construction,rk pipeline construction kirchhasel gmbh is a german company that specializes in pipeline construction construction services oil and gas pipeline and related structures construction,Pipeline Construction Services,[0.5724864602088928],0.5724864602088928
"Concept Garden Design and Build is a company based in Bushey, England, specializing in landscaping services.",['Landscaping Services'],Services,Landscaping & Lawn Services,Landscaping Services,concept garden design and build is a company based in bushey england specializing in landscaping services landscaping  lawn services landscaping services,Landscaping Services,[0.5560020208358765],0.5560020208358765
"TASTE IS BEST CATARER is a catering service based in Khardaha, West Bengal, India. The company specializes in providing various catering services.",['Catering Services'],Services,Catering & Delivery,Caterers,taste is best catarer is a catering service based in khardaha west bengal india the company specializes in providing various catering services catering  delivery caterers,Catering Services,[0.5547062158584595],0.5547062158584595
"Kelachandra Rubber Mills is a company based in Kottayam, Kerala, India, specializing in the supply of rubber products.",['Rubber Products Manufacturing'],Manufacturing,Fabricated Rubber Products,All Other Rubber Product Manufacturing,kelachandra rubber mills is a company based in kottayam kerala india specializing in the supply of rubber products fabricated rubber products all other rubber product manufacturing,Rubber Manufacturing,[0.5361774563789368],0.5361774563789368
"Clínica Veterinaria Fenix is a veterinary clinic located in Bogota, Colombia. It operates as both a veterinarian and a veterans hospital.",['Veterinary and Veterans Hospital'],Services,Veterinarians & Animal Hospitals,Veterinary Services,clnica veterinaria fenix is a veterinary clinic located in bogota colombia it operates as both a veterinarian and a veterans hospital veterinarians  animal hospitals veterinary services,Veterinary Health Centers,[0.5034435987472534],0.5034435987472534
"The company is categorized as a construction company and is located in Mashhad, Razavi Khorasan, Iran.","['Construction Services', 'Industrial Building Construction Services']",Services,Construction Services,Commercial and Institutional Building Construction,the company is categorized as a construction company and is located in mashhad razavi khorasan iran construction services commercial and institutional building construction,Commercial Construction Services,[0.4988725185394287],0.4988725185394287
"Rocky Mountain Property Management is a property management company based in Loveland, Colorado, United States.",['Property Management'],Services,Property Management,Residential Property Managers,rocky mountain property management is a property management company based in loveland colorado united states property management residential property managers,Property Management Services,[0.42830556631088257],0.42830556631088257
"Scuola Cani Salvataggio Sardegna is a dog training facility located in Quartu Sant'Aleni/Quartu Sant'Elena, Sardinia, Italy. The establishment specializes in providing training services for dogs.",['Animal Training Services'],Services,Animal Training,Pet Care (except Veterinary) Services,scuola cani salvataggio sardegna is a dog training facility located in quartu santaleniquartu santelena sardinia italy the establishment specializes in providing training services for dogs animal training pet care except veterinary services,Animal Training Services,[0.41763412952423096],0.41763412952423096
"Grupo Constructor MYGAE is a construction company based in Toluca, State of Mexico, Mexico.","['Construction Services', 'Industrial Building Construction Services']",Services,Construction Services,Commercial and Institutional Building Construction,grupo constructor mygae is a construction company based in toluca state of mexico mexico construction services commercial and institutional building construction,Commercial Construction Services,[0.41211241483688354],0.41211241483688354
"Uwe Grünwald - Landschafts- und Gartengestaltung is a company based in Waiblingen, Germany that specializes in landscape and garden design and construction. The company is owned and operated by Uwe Gruenwald, a skilled garden builder.","['Landscaping Services', 'Garden and Landscape Architecture Services']",Services,Landscaping & Lawn Services,Landscape Architectural Services,uwe grnwald  landschafts und gartengestaltung is a company based in waiblingen germany that specializes in landscape and garden design and construction the company is owned and operated by uwe gruenwald a skilled garden builder landscaping  lawn services landscape architectural services,Landscaping Services,[0.40035420656204224],0.40035420656204224
